CODIGO_ISO,ANIO,INDICE,RANKING
AFG,2018,37.28,118.0
AGO,2018,38.35,121.0
ALB,2018,29.49,75.0
AND,2018,22.21,37.0
ARE,2018,40.86,128.0
ARG,2018,26.05,52.0
ARM,2018,29.99,80.0
ATG,2018,,
AUS,2018,15.46,19.0
AUT,2018,14.04,11.0
AZE,2018,59.73,163.0
BDI,2018,55.26,159.0
BEL,2018,13.16,7.0
BEN,2018,30.16,84.0
BFA,2018,23.33,41.0
BGD,2018,48.62,146.0
BGR,2018,35.22,111.0
BHR,2018,60.85,166.0
BIH,2018,27.37,62.0
BLR,2018,52.59,155.0
BLZ,2018,24.55,47.0
BOL,2018,32.45,110.0
BRA,2018,31.2,102.0
BRN,2018,51.48,153.0
BTN,2018,30.73,94.0
BWA,2018,25.29,48.0
CAF,2018,35.25,112.0
CAN,2018,15.28,18.0
CHE,2018,11.27,5.0
CHL,2018,22.69,38.0
CHN,2018,78.29,176.0
CIV,2018,30.08,82.0
CMR,2018,40.92,129.0
COD,2018,51.6,154.0
COG,2018,35.42,114.0
COL,2018,41.03,130.0
COM,2018,25.3,49.0
CPV,2018,20.39,29.0
CRI,2018,14.01,10.0
CUB,2018,68.9,172.0
CYP,2018,19.85,25.0
CZE,2018,21.89,34.0
DEU,2018,14.39,15.0
DJI,2018,70.77,173.0
DNK,2018,13.99,9.0
DOM,2018,26.79,59.0
DZA,2018,43.13,136.0
ECU,2018,30.56,92.0
EGY,2018,56.72,161.0
ERI,2018,84.24,179.0
ESP,2018,20.51,31.0
EST,2018,14.08,12.0
ETH,2018,50.17,150.0
FIN,2018,10.26,4.0
FJI,2018,26.55,57.0
FRA,2018,21.87,33.0
GAB,2018,32.37,108.0
GBR,2018,23.25,40.0
GEO,2018,27.34,61.0
GHA,2018,18.41,23.0
GIN,2018,31.9,104.0
GMB,2018,38.36,122.0
GNB,2018,30.09,83.0
GNQ,2018,66.47,171.0
GRC,2018,29.19,74.0
GRD,2018,,
GTM,2018,36.17,116.0
GUY,2018,26.25,55.0
HKG,2018,29.04,70.0
HND,2018,45.23,141.0
HRV,2018,28.94,69.0
HTI,2018,26.82,60.0
HUN,2018,29.11,73.0
IDN,2018,39.68,124.0
IND,2018,43.24,138.0
IRL,2018,14.59,16.0
IRN,2018,60.71,164.0
IRQ,2018,56.56,160.0
ISL,2018,14.1,13.0
ISR,2018,30.26,87.0
ITA,2018,24.12,46.0
JAM,2018,11.33,6.0
JOR,2018,41.71,132.0
JPN,2018,28.64,67.0
KAZ,2018,54.41,158.0
KEN,2018,30.82,96.0
KGZ,2018,31.0,98.0
KHM,2018,45.9,142.0
KOR,2018,23.51,43.0
KSV,2018,,
KWT,2018,31.91,105.0
LAO,2018,66.41,170.0
LBN,2018,31.15,100.0
LBR,2018,30.33,89.0
LBY,2018,56.79,162.0
LIE,2018,20.49,30.0
LKA,2018,41.37,131.0
LSO,2018,28.78,68.0
LTU,2018,22.2,36.0
LUX,2018,14.72,17.0
LVA,2018,19.63,24.0
MAR,2018,43.13,135.0
MDA,2018,30.01,81.0
MDG,2018,26.2,54.0
MDV,2018,37.95,120.0
MEX,2018,48.91,147.0
MKD,2018,32.43,109.0
MLI,2018,36.15,115.0
MLT,2018,27.44,65.0
MMR,2018,43.15,137.0
MNE,2018,31.21,103.0
MNG,2018,29.05,71.0
MOZ,2018,31.12,99.0
MRT,2018,29.09,72.0
MUS,2018,26.45,56.0
MWI,2018,27.43,64.0
MYS,2018,47.41,145.0
NAM,2018,20.24,26.0
NER,2018,27.4,63.0
NGA,2018,37.41,119.0
NIC,2018,30.41,90.0
NLD,2018,10.01,3.0
NOR,2018,7.63,1.0
NPL,2018,32.05,106.0
NZL,2018,13.62,8.0
OMN,2018,40.67,127.0
PAK,2018,43.24,139.0
PAN,2018,30.56,91.0
PER,2018,30.27,88.0
PHL,2018,42.53,133.0
PNG,2018,26.19,53.0
POL,2018,26.59,58.0
PRK,2018,88.87,180.0
PRT,2018,14.17,14.0
PRY,2018,32.32,107.0
PSE,2018,42.96,134.0
QAT,2018,40.16,125.0
ROU,2018,23.65,44.0
RUS,2018,49.96,148.0
RWA,2018,52.9,156.0
SAU,2018,63.13,169.0
SDN,2018,71.13,174.0
SEN,2018,25.61,50.0
SGP,2018,50.95,151.0
SLE,2018,29.98,79.0
SLV,2018,27.78,66.0
SOM,2018,63.04,168.0
SRB,2018,29.58,76.0
SSD,2018,46.88,144.0
SUR,2018,16.44,21.0
SVK,2018,20.26,27.0
SVN,2018,21.69,32.0
SWE,2018,8.31,2.0
SWZ,2018,51.46,152.0
SYC,2018,30.17,85.0
SYR,2018,79.22,177.0
TCD,2018,38.45,123.0
TGO,2018,30.23,86.0
THA,2018,44.31,140.0
TJK,2018,50.06,149.0
TKM,2018,84.2,178.0
TLS,2018,30.81,95.0
TON,2018,25.68,51.0
TTO,2018,22.79,39.0
TUN,2018,30.91,97.0
TUR,2018,53.5,157.0
TWN,2018,23.36,42.0
TZA,2018,30.65,93.0
UGA,2018,36.77,117.0
UKR,2018,31.16,101.0
URY,2018,15.56,20.0
USA,2018,23.73,45.0
UZB,2018,60.84,165.0
VEN,2018,46.03,143.0
VNM,2018,75.05,175.0
WSM,2018,16.69,22.0
YEM,2018,62.23,167.0
ZAF,2018,20.39,28.0
ZMB,2018,35.36,113.0
ZWE,2018,40.53,126.0
